DataHora,VlLow
"2018-06-01 06:57:00",7540.00
"2018-06-01 06:58:00",7538.00
"2018-06-01 06:59:00",7535.40
"2018-06-01 07:00:00",7540.71
"2018-06-01 07:01:00",7549.01
"2018-06-01 07:02:00",7547.01
"2018-06-01 07:03:00",7548.91
"2018-06-01 07:04:00",7552.79
"2018-06-01 07:05:00",7552.79
"2018-06-01 07:06:00",7559.95
"2018-06-01 07:07:00",7555.11
"2018-06-01 07:08:00",7567.13
"2018-06-01 07:09:00",7566.07
"2018-06-01 07:10:00",7569.59
"2018-06-01 07:11:00",7584.23
"2018-06-01 07:12:00",7587.95
"2018-06-01 07:13:00",7582.47
"2018-06-01 07:14:00",7574.70
"2018-06-01 07:15:00",7568.54
"2018-06-01 07:16:00",7575.52
"2018-06-01 07:17:00",7580.48
"2018-06-01 07:18:00",7575.74
"2018-06-01 07:19:00",7575.04
"2018-06-01 07:20:00",7575.00
"2018-06-01 07:21:00",7572.25
"2018-06-01 07:22:00",7565.01
"2018-06-01 07:23:00",7569.45
"2018-06-01 07:24:00",7569.80
"2018-06-01 07:25:00",7578.92
"2018-06-01 07:26:00",7585.59
"2018-06-01 07:27:00",7582.40
"2018-06-01 07:28:00",7584.11
"2018-06-01 07:29:00",7591.88
"2018-06-01 07:30:00",7597.08
"2018-06-01 07:31:00",7597.78
"2018-06-01 07:32:00",7580.94
"2018-06-01 07:33:00",7575.90
"2018-06-01 07:34:00",7575.37
"2018-06-01 07:35:00",7579.09
"2018-06-01 07:36:00",7581.69
"2018-06-01 07:37:00",7585.99
"2018-06-01 07:38:00",7579.21
"2018-06-01 07:39:00",7576.78
"2018-06-01 07:40:00",7590.34
"2018-06-01 07:41:00",7595.95
"2018-06-01 07:42:00",7589.80
"2018-06-01 07:43:00",7592.14
"2018-06-01 07:44:00",7588.96
"2018-06-01 07:45:00",7584.40
"2018-06-01 07:46:00",7583.75
"2018-06-01 07:47:00",7590.00
"2018-06-01 07:48:00",7583.70
"2018-06-01 07:49:00",7583.56
"2018-06-01 07:50:00",7583.04
"2018-06-01 07:51:00",7575.66
"2018-06-01 07:52:00",7576.58
"2018-06-01 07:53:00",7575.01
"2018-06-01 07:54:00",7570.77
"2018-06-01 07:55:00",7562.33
"2018-06-01 07:56:00",7562.33
"2018-06-01 07:57:00",7560.30
"2018-06-01 07:58:00",7564.59
"2018-06-01 07:59:00",7566.99
"2018-06-01 08:00:00",7566.11
"2018-06-01 08:01:00",7565.51
"2018-06-01 08:02:00",7561.01
"2018-06-01 08:03:00",7562.31
"2018-06-01 08:04:00",7560.11
"2018-06-01 08:05:00",7552.70
"2018-06-01 08:06:00",7555.77
"2018-06-01 08:07:00",7567.32
"2018-06-01 08:08:00",7568.47
"2018-06-01 08:09:00",7569.14
"2018-06-01 08:10:00",7566.03
"2018-06-01 08:11:00",7559.70
"2018-06-01 08:12:00",7559.61
"2018-06-01 08:13:00",7558.47
"2018-06-01 08:14:00",7562.40
"2018-06-01 08:15:00",7562.41
"2018-06-01 08:16:00",7563.46
"2018-06-01 08:17:00",7565.60
"2018-06-01 08:18:00",7565.70
"2018-06-01 08:19:00",7567.60
"2018-06-01 08:20:00",7567.90
"2018-06-01 08:21:00",7575.42
"2018-06-01 08:22:00",7577.02
"2018-06-01 08:23:00",7575.30
"2018-06-01 08:24:00",7575.75
"2018-06-01 08:25:00",7571.51
"2018-06-01 08:26:00",7570.07
"2018-06-01 08:27:00",7567.33
"2018-06-01 08:28:00",7568.20
"2018-06-01 08:29:00",7573.20
"2018-06-01 08:30:00",7572.28
"2018-06-01 08:31:00",7572.40
"2018-06-01 08:32:00",7572.50
"2018-06-01 08:33:00",7572.40
"2018-06-01 08:34:00",7572.28
"2018-06-01 08:35:00",7572.29
"2018-06-01 08:36:00",7572.00
"2018-06-01 08:37:00",7569.39
"2018-06-01 08:38:00",7569.39
"2018-06-01 08:39:00",7569.91
"2018-06-01 08:40:00",7569.56
"2018-06-01 08:41:00",7570.39
"2018-06-01 08:42:00",7570.93
"2018-06-01 08:43:00",7576.62
"2018-06-01 08:44:00",7573.97
"2018-06-01 08:45:00",7574.06
"2018-06-01 08:46:00",7575.30
"2018-06-01 08:47:00",7576.31
"2018-06-01 08:48:00",7576.34
"2018-06-01 08:49:00",7582.06
"2018-06-01 08:50:00",7577.00
"2018-06-01 08:51:00",7577.24
"2018-06-01 08:52:00",7578.23
"2018-06-01 08:53:00",7578.45
"2018-06-01 08:54:00",7580.92
"2018-06-01 08:55:00",7584.03
"2018-06-01 08:56:00",7582.07
"2018-06-01 08:57:00",7583.10
"2018-06-01 08:58:00",7583.23
"2018-06-01 08:59:00",7585.17
"2018-06-01 09:00:00",7585.91
"2018-06-01 09:01:00",7587.52
"2018-06-01 09:02:00",7588.93
"2018-06-01 09:03:00",7591.05
"2018-06-01 09:04:00",7591.48
"2018-06-01 09:05:00",7591.89
"2018-06-01 09:06:00",7585.00
"2018-06-01 09:07:00",7581.47
"2018-06-01 09:08:00",7580.21
"2018-06-01 09:09:00",7576.68
"2018-06-01 09:10:00",7572.28
"2018-06-01 09:11:00",7571.48
"2018-06-01 09:12:00",7571.64
"2018-06-01 09:13:00",7573.74
"2018-06-01 09:14:00",7575.56
"2018-06-01 09:15:00",7576.48
"2018-06-01 09:16:00",7576.51
"2018-06-01 09:17:00",7573.71
"2018-06-01 09:18:00",7579.99
"2018-06-01 09:19:00",7576.78
"2018-06-01 09:20:00",7577.18
"2018-06-01 09:21:00",7579.19
"2018-06-01 09:22:00",7580.00
"2018-06-01 09:23:00",7579.30
"2018-06-01 09:24:00",7583.82
"2018-06-01 09:25:00",7575.80
"2018-06-01 09:26:00",7570.24
"2018-06-01 09:27:00",7527.48
"2018-06-01 09:28:00",7516.47
"2018-06-01 09:29:00",7541.23
"2018-06-01 09:30:00",7554.99
"2018-06-01 09:31:00",7543.08
"2018-06-01 09:32:00",7543.98
"2018-06-01 09:33:00",7542.30
